Date,Gold,Silver,Oil,SP500,Euro_STOXX_50,DAX,USDPLN,EURUSD,USDGBP
2018-01-05,1320.300048828125,17.204999923706055,61.43999862670898,2743.14990234375,4353.9908791893395,16075.260330800316,3.436150074005127,1.2068840265274048,1.3552889823913574
2018-01-08,1318.5999755859375,17.06399917602539,61.72999954223633,2747.7099609375,4353.287453680707,16091.413107779576,3.4495599269866943,1.2037460803985596,1.3575890064239502
2018-01-09,1311.699951171875,16.93600082397461,62.959999084472656,2751.2900390625,4336.741036967491,16023.162548391614,3.4837300777435303,1.1970456838607788,1.3571282625198364
2018-01-10,1317.4000244140625,16.96299934387207,63.56999969482422,2748.22998046875,4306.285722689703,15843.749680604786,3.5132999420166016,1.1929330825805664,1.353234887123108
2018-01-11,1320.5999755859375,16.893999099731445,63.79999923706055,2767.56005859375,4298.5209091776915,15785.578583084276,3.49180006980896,1.195614457130432,1.351278305053711
2018-01-12,1333.4000244140625,17.069000244140625,64.30000305175781,2786.239990234375,4350.340941976028,15949.796895565814,3.45959997177124,1.2042099237442017,1.3541878461837769
2018-01-15,1333.4000244140625,17.069000244140625,64.30000305175781,2786.239990234375,4403.626087626908,16094.453537380323,3.419559955596924,1.2192296981811523,1.3733056783676147
2018-01-16,1335.4000244140625,17.121999740600586,63.72999954223633,2776.419921875,4443.638919780613,16251.172062118538,3.3991000652313232,1.2268433570861816,1.379824161529541
2018-01-17,1338.0,17.104999542236328,63.970001220703125,2802.56005859375,4433.348373536981,16178.424087716849,3.399399995803833,1.227129340171814,1.3798813819885254
2018-01-18,1326.0,16.89299964904785,63.95000076293945,2798.030029296875,4411.708872809366,16182.065452659503,3.4188599586486816,1.218397855758667,1.382800817489624
2018-01-19,1331.9000244140625,16.975000381469727,63.369998931884766,2810.300048828125,4465.223661469936,16439.20883051702,3.3996400833129883,1.2236607074737549,1.3894678354263306
2018-01-22,1330.9000244140625,16.930999755859375,63.4900016784668,2832.969970703125,4491.985017212777,16500.429763384047,3.404230117797852,1.2255502939224243,1.3891589641571045
2018-01-23,1335.699951171875,16.854999542236328,64.47000122070312,2839.1298828125,4500.851932525984,16618.989637788618,3.399800062179565,1.2256253957748413,1.3984841108322144
2018-01-24,1355.9000244140625,17.424999237060547,65.61000061035156,2837.5400390625,4484.901308141096,16513.904323463095,3.383660078048706,1.2310267686843872,1.401738166809082
2018-01-25,1362.4000244140625,17.551000595092773,65.51000213623047,2839.25,4498.159780236485,16478.148640051833,3.350640058517456,1.239111304283142,1.4220906496047974
2018-01-26,1351.5999755859375,17.381999969482422,66.13999938964844,2872.8701171875,4519.995137552905,16531.59492186969,3.3422598838806152,1.239234209060669,1.4150274991989136
2018-01-29,1351.5999755859375,17.381999969482422,65.55999755859375,2853.530029296875,4527.596642156014,16559.761183495164,3.325360059738159,1.2428072690963743,1.4149274826049805
2018-01-30,1335.4000244140625,17.01300048828125,64.5,2822.429931640625,4465.568097174168,16340.271035508486,3.347559928894043,1.2381141185760498,1.4076577425003052
2018-01-31,1339.0,17.20400047302246,64.7300033569336,2823.81005859375,4478.972096330719,16367.572111210786,3.350359916687012,1.2409565448760986,1.4155884981155396
